image_path,caption
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6567_BNF_Platzhalter_cn_coin_12077_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6567_BNF_Platzhalter_cn_coin_12078_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6567_cn_coin_7081_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6567_cn_coin_7396_p_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6567_MK_18249219_cn_coin_10646_o_rev.jpg,Zeus enthroned left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7367_cn_coin_29501_p_rev.jpg,Tetrastyle temple on crepidoma; within enthroned Zeus& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7369_cn_coin_29502_p_rev.jpg,Tetrastyle temple on crepidoma; within enthroned Zeus& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7370_cn_coin_29504_p_rev.jpg,Tetrastyle temple on crepidoma; within enthroned Zeus& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7373_cn_coin_29508_p_rev.jpg,Tetrastyle temple on crepidoma; within enthroned Zeus& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_73_cn_coin_7760_p_rev.jpg,Tetrastyle temple on crepidoma; within enthroned Zeus& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_219_cn_coin_7982_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_219_MK_18249901_cn_coin_10740_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_248_BNF_Platzhalter_cn_coin_12727_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_248_cn_coin_8123_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_248_MK_18249811_cn_coin_8123_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_654_cn_coin_8566_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1840_cn_coin_9634_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1840_cn_coin_9635_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2721_cn_coin_14507_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4080_cn_coin_30376_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4080_cn_coin_9533_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4080_cn_coin_9534_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4080_cn_coin_9535_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4081_cn_coin_9652_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4081_cn_coin_9653_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4081_MK_18239820_cn_coin_3724_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6048_cn_coin_28288_p_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6642_BNF_Platzhalter_cn_coin_12076_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6642_MK_18249217_cn_coin_10645_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7756_cn_coin_30393_o_rev.jpg,Zeus standing left& holding patera and sceptre; at his feet& eagle.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_145_cn_coin_7865_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_cn_coin_30390_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_cn_coin_9679_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_MK_18239814_cn_coin_3723_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_186_cn_coin_7933_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_878_MK_18247618_cn_coin_6698_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_cn_coin_30390_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_cn_coin_9679_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1861_MK_18239814_cn_coin_3723_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1974_BNF_FRBNF41827875_cn_coin_9864_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1974_BNF_FRBNF41827875_cn_coin_9900_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1974_cn_coin_9864_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1974_cn_coin_9900_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1974_cn_coin_9901_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1978_cn_coin_9873_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2204_BNF_Platzhalter_cn_coin_10850_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2204_cn_coin_10850_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2654_BNF_FRBNF41827898_cn_coin_14423_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2654_cn_coin_14423_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_5642_cn_coin_27704_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7856_cn_coin_31021_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10720_cn_coin_33412_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10720_cn_coin_33413_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10762_BNF_Platzhalter_cn_coin_13284_o_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10762_cn_coin_33535_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10762_cn_coin_33536_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10762_cn_coin_33537_p_rev.jpg,Zeus standing left& holding thunderbolt and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7095_cn_coin_29112_p_obv.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7096_MK_18262458_cn_coin_19322_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_717_BNF_Platzhalter_cn_coin_13377_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_719_cn_coin_8463_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7204_BNF_41767025_cn_coin_22429_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7233_BNF_41767069_cn_coin_22473_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7241_BNF_41767063_cn_coin_22467_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7242_BNF_41767082_cn_coin_22486_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7367_cn_coin_29501_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7369_cn_coin_29502_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7370_cn_coin_29504_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7373_cn_coin_29508_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_73_cn_coin_7760_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7452_cn_coin_15230_p_obv.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7453_cn_coin_15232_p_obv.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7469_cn_coin_29689_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7469_cn_coin_29692_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7482_cn_coin_29712_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30095_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
